# h = 0.005
# L = 5.0
# H = 1.0
# U = 0.5
# x = 1.0
# y = 0.4
# a = 0.4
# theta = np.pi / 6
# r_rel = 0.25
# h_meas = 0.2
# 229642 nodes, 456476 elements
loc_x,loc_y,inode,dof_idx,dof_type,idof,value
4.4,1.0,71,0,dx,374428,0.0006252271724138511
4.4,1.0,71,1,dy,374429,-0.0009048887360217369
4.6000000000000005,0.0,5,0,dx,6792,0.0065682040890012875
4.6000000000000005,0.0,5,1,dy,6793,0.0006217207412773032
4.6000000000000005,1.0,73,0,dx,372566,0.0006069061658903722
4.6000000000000005,1.0,73,1,dy,372567,0.00033997563583736844
4.800000000000001,0.0,64,0,dx,38084,0.006547166011745188
4.800000000000001,0.0,64,1,dy,38085,0.0016258903427949487
4.800000000000001,1.0,75,0,dx,373278,0.0006060715164177971
4.800000000000001,1.0,75,1,dy,373279,0.0015673067447157145
5.0,0.0,66,0,dx,452664,0.006552720773841801
5.0,0.0,66,1,dy,452665,0.0027747726073232113
5.0,1.0,76,0,dx,452662,0.0006071643596684686
5.0,1.0,76,1,dy,452663,0.0027827168064724836
0.0,0.2,25,0,dx,214886,0.0016157146818136735
0.0,0.2,25,1,dy,214887,0.0025643650187282476
5.0,0.2,68,0,dx,374242,0.005398013657984494
5.0,0.2,68,1,dy,374243,0.002778845189721162
0.0,0.4,26,0,dx,153946,0.0027044735151927264
0.0,0.4,26,1,dy,153947,0.0025874456079084396
5.0,0.4,70,0,dx,448790,0.004219618657050515
5.0,0.4,70,1,dy,448791,0.0027827573755189365
0.0,0.6000000000000001,27,0,dx,132756,0.003834989230465677
0.0,0.6000000000000001,27,1,dy,132757,0.0026172653132033137
5.0,0.6000000000000001,72,0,dx,374344,0.003025179059245425
5.0,0.6000000000000001,72,1,dy,374345,0.0027811530400137893
0.0,0.8,29,0,dx,371516,0.005003194394395869
0.0,0.8,29,1,dy,371517,0.002638660438377769
5.0,0.8,74,0,dx,367624,0.001820541633517167
5.0,0.8,74,1,dy,367625,0.002781682184119722
